um,ими
end,конец
saying,говорить
phone,Телефон
play,играть
looks,выглядит
couldn,не могло
fucking,чертовски
problem,проблема
few,немного
friends,друзья
gotta,надоедорос
ago,назад
open,открытым
anyone,кто угодно
killed,погибший
hope,надеяться
face,лицо
until,до
lost,потерянный
police,полиция
excuse,извинение
turn,перемена
business,бизнес
case,кейс
wants,хочет
says,говорит
TRUE,ПРАВДА
die,умереть
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,потом
year,год
watch,смотреть
music,Музыка
hand,рука
having,иметь
probably,наверное
beautiful,красивая
doctor,доктор
sit,сидеть
eat,есть
thinking,думать
young,молодой
second,второй
working,работающий
water,воды
person,человек
part,часть
kids,Дети
late,поздно
stuff,вещи
exactly,точно
under,под
death,смерть
minute,минута
pay,платить
crazy,сумасшедший
forget,забывать
everybody,все
kid,ребенок
change,изменение
gave,дал
happen,случаться
damn,проклятие
five,пять
drink,напиток
far,далеко
knows,знает
its,это
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,арен
hit,ударять
taking,взять
easy,легкий
times,времена
check,проверить
hands,Руки
minutes,минут
deal,иметь дело
different,другой
means,средства
point,точка
inside,внутри
makes,произносить
asked,спросил
somebody,кто-то
mine,моя
making,изготовление
body,тело
afraid,боюсь
sleep,спать
chance,шанс
dear,дорогая
quite,довольно
four,четыре
anyway,в любом случае
close,близко
ain,аин
party,вечеринка
fun,веселье
against,против
word,слово
comes,поставляется
important,важный
set,установленный
shall,должен
story,история
number,количество
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,момент
fight,Борьба
week,неделя
husband,муж
girls,девушки
rest,отдыхать
married,женатый
fire,Огонь
game,игра
nobody,никто
mr,Мистер
children,дети
side,боковая сторона
stand,стоять
read,читать
though,хотя
cut,резать
started,начал
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,говорить
women,женщины
behind,позади
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,воспроизведение
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,перерыв
war,война
city,город
walk,ходить
town,город
trust,доверять
dr.,доктор
met,встретились
office,офис
question,вопрос
brought,принес
yours,ваша
welcome,Добро пожаловать
high,высокий
wow,Вот это да
couple,пара
half,половина
died,умерла
cool,Круто
free,бесплатно
either,или
seems,кажется
power,власть
whoa,вау
bye,до свидания
buy,купить
telling,рассказывать
honey,медовый
tried,пытался
front,передний
team,команда
answer,отвечать
gun,пистолет
boys,мальчики
line,линия
send,Отправить
news,Новости
stupid,тупой
bed,кровать
hurry,торопиться
full,полный
months,месяцы
save,спасти
sometimes,иногда
become,стали
along,вместе
hate,ненавидеть
food,еда
outside,вне
light,свет
l,летание
needs,потребности
dog,собака
country,страна
clear,Чисто
order,порядок
em,Эм
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,смешной
black,чернить
mrs.,Г-жа.
alive,в живых
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,план
dinner,обед
sighs,вздыхает
sort,Сортировать
leaving,уход
shouldn,одолевать
running,Бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,безопасно
ma,масса
book,книга
sent,послал
white,белый
hour,час
anybody,Кто-нибудь
small,небольшой
perfect,идеально
cause,причина
lives,жизни
special,особый
parents,родители
s,с
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,Компания
ha,ха.
scared,испуганный
uncle,дядя
poor,бедных
red,красный
past,мимо
earth,Земля
possible,возможный
shoot,стрелять
touch,трогать
sound,звук
top,Топ
ass,жопа
laughs,смех
cannot,не мочь
asking,спрашивать
win,победить
glad,радостный
control,контроль
hmm,Хм
human,человек
drive,водить машину
hair,волосы
jack,Джек
bitch,сука
luck,удача
murder,убийство
happens,случается
air,воздух
ten,10
daddy,папочка
finally,наконец
chuckles,смехаться
fast,быстро
cold,холодно
seem,казаться
laughing,смеющийся
words,слова
hospital,больница
street,улица
hang,вешать
dance,танцевать
meeting,встреча
till,пока
others,другие
catch,ловить
follow,следить
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,мастер
known,известный
dream,мечтать
write,записывать
million,миллион
voice,голос
sweet,милая
rather,скорее
felt,чувствовала
sign,подписать
lucky,счастливчик
somewhere,где-то
bet,держать пари
o,о
jesus,Иисус
longer,дольше
calling,призыв
worked,работал
quiet,тихий
looked,смотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращение
secret,секретарь
weeks,недели
weren,вурена
date,Дата
seeing,видимость
fall,падение
given,данный
ooh,ООН
fault,вина
straight,прямой
takes,занимает
song,песня
future,будущее
gentlemen,джентльмены
loved,любимый
changed,измененный
road,Дорога
calm,спокойствие
wonderful,чудесно
mad,Сумасшедший
turned,повернувшийся
drop,уронить
ladies,дамы
learn,учиться
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
yesterday,вчера
throw,бросать
picture,рисунок
land,земля
feet,ноги
wonder,задаваться вопросом
questions,вопросов
speaking,Говорящий
worth,стоимость
darling,дорогой
dude,чувак
giving,давать
president,президент
eye,глаз
quick,быстро
moving,движущийся
figure,фигура
state,штат
strong,сильный
sam,Сэм
none,никто
amazing,удивительный
ones,одинаково
works,работает
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствует
choice,выбор
happening,происходит
chief,главный
wedding,свадьба
strange,странный
general,Общее
pain,боль
am,являюсь
kidding,шутя
decided,решил
ya,Я.
pass,проходить
tired,усталый
class,класс
officer,офицер
kept,сдержанный
wake,будить
worse,худший
busy,занятый
eh,эх
mistake,ошибка
kiss,целовать
court,корт
building,строительство
finish,Конец
during,в течение
age,возраст
ship,корабль
caught,пойманный
marry,выйти замуж
meant,имел ввиду
sell,продавать
dark,темный
watching,watching
system,система
suppose,предполагать
evidence,свидетельство
movie,кино
ride,поездка
t,т
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
tv,телевидение
forgive,простить
born,Родился
imagine,представлять себе
information,Информация
instead,вместо
definitely,определенно
security,безопасность
certainly,безусловно
film,пленка
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,отель
christmas,рождество
attack,атака
hasn,несущественно
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,около
broke,сломанный
station,станция
seriously,шутки в сторону
forever,навсегда
david,Дэйвид
frank,откровенный
except,Кроме
thinks,думать
message,сообщение
entire,весь
joe,Джо
table,стол
talked,разговаривали
across,через
rock,рок
lovely,прекрасный
handle,ручка
middle,середина
buddy,приятель
paid,оплаченный
protect,защищать
using,с использованием
floor,пол
ran,победа
swear,клятва
spend,проводить
situation,ситуация
ring,звенеть
anywhere,в любом месте
dangerous,опасный
bill,законопроект
york,Йорк
army,армия
lead,привести
bought,купили
finished,законченный
fair,справедливый
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,просто
interesting,интересно
space,Космос
test,тестовое задание
box,коробка
group,группа
single,Один
sitting,заседание
marriage,свадьба
join,присоединиться
fear,страх
d,подразделение
peace,мир
forgot,забыли
force,сила
short,короткая
normal,обычный
charlie,Чарли
present,настоящее время
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американец
count,считать
area,площадь
charge,плата
honor,честь
lunch,обед
miles,мили
radio,радио
idiot,идиот
ball,мяч
surprise,сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыба
mark,отметка
tom,Том
wearing,носить
crying,плач
accident,авария
government,правительство
eight,восемь
fell,упал
cover,крышка
certain,определенный
interested,заинтересовать
deep,глубокий
star,звезда
sea,море
agree,дать согласие
problems,проблемы
detective,детектив
prison,тюрьма
major,крупный
stick,палка
offer,предложение
difficult,сложно
smart,умный
personal,личный
record,записывать
stopped,остановился
hide,Спрятать
whether,ли
bank,банк
trip,поездка
relax,расслабляться
america,Америка
public,публичный
list,список
afternoon,после полудня
brain,головной мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,услуга
screaming,кричать
forward,вперед
angry,злой
park,парк
soul,душа
fighting,боевые действия
peter,Питер
rich,богатый
agent,агент
blow,дуть
paul,Павел
dress,одеваться
mary,Мэри
missed,пропущенный
scene,сцена
killing,убийство
standing,стоянок
saved,спасенный
mm,мм
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувствителен
church,церковь
sad,грустный
cell,клетка
drunk,пьяный
share,Поделиться
camera,камера
mm-hmm,мм-хм.
within,в
card,карта
fly,летать
ben,Бен
girlfriend,Подруга
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,довольно часто
starting,запуск
calls,вызовы
y,у
spent,потраченный
third,в третьих
english,английский
visit,визит
mama,мама
judge,судить
window,окно
hungry,голодный
dare,посметь
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,я-я
position,позиция
lieutenant,лейтенант
realize,понимать
lt,лейтена
especially,особенно
machine,машина
walking,ходьба
art,Изобразительное искусство
pleasure,удовольствие
bloody,кровавый
college,колледж
french,французкий язык
involved,вовлеченный
cry,плакать
became,стал
lived,жил
impossible,невозможно
obviously,очевидно
neither,ни один
accept,принимать
boyfriend,парень
besides,Помимо
queen,Королева
teacher,учитель
cops,полицейские
sake,сакэ
loves,любить
carry,нести
teach,учат
apartment,квартира
upset,расстройство
green,зеленый
la,преданный
liked,понравилось
cute,милый
evil,зло
professor,профессор
contact,контакт
joke,шутить
cop,полицейский
huge,огромный
holy,святой
store,хранить
jail,тюрьма
likes,нравится
lawyer,юрист
doubt,сомневаться
continue,Продолжить
appreciate,ценить
cat,Кот
shop,магазин
driving,вождение
congratulations,поздравляю
wrote,писал
village,поселок
quit,покидать
field,поле
james,Джеймс
wine,вино
decision,решение
south,юг
sleeping,спать
slow,медленный
laughter,смех
island,остров
glass,стакан
beginning,начало
cash,наличные
dying,умирающий
hundred,сотни
whose,чья
difference,разница
plane,самолет
push,толкать
continues,продолжается
mmm,М-м-м
singing,пение
eating,принимать пищу
north,север
mrs,Г-жа
tree,дерево
madam,Госпожа
gift,подарок
truck,грузовая машина
putting,посадка
bear,нести
board,доска
grab,схватить
beer,пиво
stuck,застрявший
magic,магия
support,служба поддержки
rules,правила
grunts,грютки
partner,партнер
reach,достигать
wind,ветер
colonel,полковник
max,Максимум
immediately,немедленно
seconds,секунды
thousand,тысяча
gives,дает
experience,опыт
cheers,ваше здоровье
victim,потерпевший
upon,на
computer,компьютерный
christ,Христос
planet,планета
promised,обещанный
bus,автобус
henry,Генри
dirty,грязный
search,поиск
staying,пребывание
dreams,мечты
arrest,арест
holding,держа
suddenly,"вдруг, внезапно"
usually,как правило
lots,много
shoes,туфли
er,эр
jump,Прыжок
rid,избавлять
yo,Эй
knock,постучать
owe,быть должным
harry,Гарри
grow,расти
worst,наихудший
river,река
aunt,тетя
patient,пациент
kitchen,кухня
aah,аах
fat,толстый
passed,прошедший
m,М.
final,финал
summer,лето
bob,боб
listening,прослушивание
escape,побег
everywhere,где угодно
moon,Луна
arms,руки
turns,повороты
address,адрес
ow,одолжение
match,соответствие
gasps,задыхаться
grand,великолепный
yep,Ага
shh,тль
nervous,нервный
de,департамент
choose,выбирать
themselves,самих себя
decide,решить
mate,приятель
drinking,питьевой
press,Нажмите
bother,беспокоить
foot,ступня
hadn,вставать
blame,обвинять
crap,дерьмо
drugs,наркотики
type,тип
rings,кольца
mission,миссия
named,название
heaven,небеса
ii,II
picked,выбранный
paris,Париж
race,гонка
risk,риск
books,книги
further,дальше
danny,Дэнни
action,действие
allowed,разрешается
orders,заказывает
learned,научился
price,цена
arrived,прибывший
nick,Ник
otherwise,иначе
pictures,фотографий
fit,соответствовать
smoke,курить
favor,услуга
played,сыгранный
notice,уведомление
awesome,классно
smile,улыбка
director,директор
guard,сторожить
begin,начинать
spot,"пятно, место"
surprised,удивлен
innocent,невиновный
narrator,рассказчик
herself,саму себя
london,Лондон
feelings,чувства
enemy,враг
battle,боевой
ourselves,сами
alex,Алекс
dollars,доллары
allow,разрешать
nine,девять
gay,гей
department,отделение
guilty,виновный
apart,отдельно
earlier,ранее
duty,долг
jim,Джим
suit,подходить
bell,колокольчик
west,Запад
legs,ноги
hero,герой
destroy,разрушать
stage,сцена
bunch,связка
according,согласно
chicken,курица
bigger,больше
grunting,грющий
low,низкий
helping,помогая
admit,признавать
closed,закрыто
names,имен
witness,свидетель
upstairs,вверх по лестнице
arm,рука
steal,воровать
jimmy,Джимми
kick,пинать
twice,дважды
cross,Пересекать
ways,способы
sergeant,сержант
indeed,действительно
gas,газа
keeping,удерживать
energy,энергия
pregnant,беременная
waste,трата
helped,помогли
fired,уволенный
favorite,любимый
tony,Тони
taste,вкус
locked,заблокирован
places,Места
writing,пишу
adam,Адам
brothers,братья
starts,начало
prince,принц
form,форма
sold,продано
silly,глупый
mention,упомянуть
build,строить
throat,горло
hole,отверстие
figured,фигурированный
track,отслеживать
ringing,звонит
lock,замок
leg,нога
above,выше
hiding,прячется
steve,Стив
seemed,казалось
breakfast,завтрак
engine,двигатель
written,писать
complete,полный
video,видео
applause,аплодисменты
however,тем не мение
pressure,давление
fresh,свежий
weapon,оружие
sky,небо
ms.,РС.
stole,украл
study,учиться
burn,гореть
reading,чтение
crowd,толпа людей
treat,относиться
roll,рулон
double,двойной
spirit,дух
danger,Опасность
cost,Стоимость
empty,пустой
level,уровень
memory,объем памяти
itself,сам
acting,играет роль
interest,интерес
nose,нос
plans,планы
following,следующий
bathroom,ванная комната
built,построенный
closer,ближе
ray,рентген
sarah,Сара
band,группа
groans,стоны
apparently,видимо
excited,в восторге
richard,Ричард
losing,потери
animals,животные
flight,полет
nature,природа
raise,поднимать
pop,поп
client,клиент
bomb,бомбить
neck,шея
suspect,подозревать
warm,тепло
extra,дополнительный
bottle,бутылка
van,ван
heavy,тяжелый
mommy,мама
dogs,собаки
wild,дикий
ridiculous,нелепый
simply,просто
lee,ли
animal,животное
showed,показал
billy,Билли
shooting,стрельба
keeps,держится
camp,лагерь
guns,пистолет
medical,медицинский
shame,стыд
hoping,надеяться
whom,кому
bird,птица
majesty,величество
flowers,цветы
famous,известный
asleep,спящий
beauty,Красота
driver,Водитель
keys,ключи
rain,дождь
awful,ужасный
large,большой
local,местный
deserve,заслуживать
goddamn,господство
stone,камень
jane,Джейн
grace,благодать
consider,рассмотреть возможность
weekend,выходные дни
wondering,интересный
lay,класть
plenty,множество
willing,готовый
pants,брюки
sweetheart,дорогой
skin,кожа
excellent,превосходно
asshole,Мудак
beach,пляж
c,слияние
faith,Вера
beg,просить
fuckin,берут
responsible,ответственный
military,военный
cheering,аплодисменты
opportunity,возможность
common,общий
bottom,Нижний
german,Немецкий
whoever,Кто-нибудь
cook,повар
walked,шел
papers,документы
justice,справедливость
hall,зал
commander,командир
drug,"препарат, средство, медикамент"
main,главный
knife,нож
devil,дьявол
necessary,необходимо
although,несмотря на то что
princess,принцесса
lights,огни
flying,летать
dick,Дик
rose,Роза
knowing,знание
clearly,четко
hat,шапка
agreed,согласовано
johnny,Джонни
corner,угол
code,код
note,Примечание
tommy,Томми
due,в связи
correct,верный
apologize,принести извинения
language,язык
stars,звезды
faster,Быстрее
cars,машины
folks,близкие
bullshit,фигня
i.,я.
fellow,парень
several,несколько
grandma,бабушка
shows,выставка
leader,лидер
leaves,листья
restaurant,ресторан
east,Восток
shouting,кричать
blind,слепой
ghost,призрак
cup,чашка
gotten,утомительный
tight,тугой
conversation,беседа
tells,рассказывает
lies,ложь
nor,ни
pulled,вытащил
hanging,висит
speed,скорость
stories,истории
health,здоровье
advice,совет
held,держал
uh-huh,Ага
murdered,убивать
beyond,вне
rule,правило
hardly,едва ли
possibly,возможно
inspector,инспектор
cousin,двоюродный брат
trial,испытание
emergency,скорая медицинская помощь
ought,должен
eddie,Эдди
somehow,как-то
hearing,слушание
states,состояния
account,учетная запись
spoke,говорить
file,файл
understood,понял
angel,ангел
tape,Лента
milk,молоко
powerful,мощный
weapons,оружие
practice,упражняться
manager,менеджер
pardon,помилование
vote,голосование
jake,Джейк
national,национальный
career,карьера
minister,министр
super,супер
taught,учил
robert,Роберт
biggest,самый большой
plays,пьесы
natural,естественный
dancing,танцы
copy,скопировать
plus,плюс
martin,Мартин
cake,кекс
freedom,Свобода
among,среди
breath,дыхание
operation,эксплуатация
chris,Крис
crew,экипаж
challenge,вызов
market,рынок
meat,мясо
towards,к
bringing,приносят
dropped,упавший
student,ученик
lied,обманывать
strength,сила
size,размер
breathe,дышать
color,цвет
monster,монстр
loud,громко
photo,Фото
aw,aw.
nearly,почти
sight,зрение
greatest,величайший
games,игра
bridge,мост
dressed,оделась
arrested,арестован
horrible,какой ужас
coach,тренер
planning,планирование
checked,проверено
breaking,взломать
noticed,обратил внимание
fantastic,фантастика
screams,крики
serve,обслуживать
ideas,идей
investigation,изучение
center,центр
older,старшая
pack,пакет
soldiers,солдаты
nonsense,ерунда
doc,док
project,проект
training,обучение
example,пример
trick,обманывать
prepared,готовый
science,наука
united,United.
travel,путешествовать
incredible,невероятный
grandpa,дедушка
paying,платить
character,персонаж
teeth,зубы
criminal,уголовное
charles,Чарльз
chinese,китайский язык
truly,действительно
honestly,честно говоря
bro,братан
survive,выживать
bobby,Бобби
target,цель
feed,кормить
nurse,медсестра
e,свидетельствовать
fake,не настоящие
records,рекорды
breathing,дыхание
sweetie,милая
numbers,числа
oil,масло
suicide,самоубийство
belong,принадлежать
whoo,уважаемое
perfectly,в совершенстве
amy,Эми
forgotten,забытый
remain,оставаться
original,оригинал
papa,папа
onto,на
concerned,обеспокоенный
credit,кредит
ugh,фу
invited,приглашенный
discuss,обсуждать
research,исследовать
easier,Полегче
view,Посмотреть
chair,стул
hurts,болит
strike,забастовка
roger,Роджер
fill,наполнять
condition,состояние
mountain,гора
dr,доктор
nowhere,нигде
sheriff,шериф
kim,потрясающий
turning,превращение
brown,коричневый
recognize,распознавать
heads,головы
audience,зрительская аудитория
all,все
jealous,ревнивый
pretend,притворяться
society,общество
finding,находка
shirt,Рубашка
comfortable,комфортный
meaning,имея в виду
guest,гость
pieces,шт
dry,сухой
letting,отпуская
began,началось
aye,ай
jeff,Джефф
female,женский
release,выпускать
ho,добывать
cards,карты
pray,молиться
unfortunately,к несчастью
balls,мячи
destroyed,уничтожен
ended,закончился
universe,вселенная
prepare,подготовить
opinion,мнение
movies,фильмы
soldier,солдат
wash,стирать
program,программа
heat,нагревать
usual,обычный
ticket,проездной билет
stolen,украденный
prefer,предпочитать
aware,осведомленный
surely,конечно
male,мужчина
base,база
matters,имеет значение
lift,поднимать
lab,лаборатория
command,команда
proof,доказательство
cream,кремовый цвет
selling,продажа
believed,верил
create,Создайте
h,час
afford,предоставлять
sunday,Воскресенье
total,общий
dumb,тупой
threw,бросил
france,Франция
birth,рождение
created,созданный
realized,осуществленный
british,британский
noise,шум
nuts,орехи
students,студенты
birds,птиц
social,Социальное
brilliant,блестящий
bodies,тела
tie,галстук
opened,открыл
ours,наша
bucks,бакс
kevin,Кевин
mister,Мистер
ugly,уродливый
ryan,Райан
focus,фокус
dan,Дэн
opens,открывается
exist,существовать
followed,последование
england,Англия
draw,рисовать
purpose,цель
letters,письма
daniel,даниэль
opening,открытие
bullet,пуля
anna,Анна
lately,недавно
stayed,остались
falling,падение
season,сезон
ends,заканчивается
suggest,предложить
joy,радость
distance,расстояние
responsibility,обязанность
whenever,в любое время
issue,проблема
thousands,тысячи
process,процесс
sword,меч
shower,душ
weak,слабый
fucked,трахаться
lonely,Одинокий
happiness,счастье
eric,Эрик
tiny,крошечный
desk,стол письменный
pool,бассейн
property,имущество
forced,принужденный
settle,решить
indistinct,недушный
weight,масса
received,полученный
gang,банда
bite,кусать
friday,Пятница
disappeared,исчез
interview,интервью
expecting,ожидать
kinda,вроде
surgery,операция
horses,лошади
mayor,мэр
babe,детка
ancient,древний
handsome,красивый
thomas,Томас
saturday,Суббота
staff,сотрудники
lines,линией
unit,Ед. изм
fan,поклонник
gentleman,джентльмен
introduce,представлять
fate,судьба
split,расколоть
recently,в последнее время
expected,ожидал
add,Добавить
ordered,заказал
slowly,медленно
alarm,тревога
member,член
slept,спала
signed,подписанный
enter,входить
spanish,испанский
garden,сад
brings,приносить
brave,Храбрый
pig,свинья
model,модель
finger,Палец
medicine,медицина
access,доступ
failed,не смогли
flat,плоский
easily,с легкостью
discovered,обнаруженный
based,на основании
screw,винт
insane,безумный
cares,забота
weather,Погода
fingers,пальцы
san,сан
scott,соревнование
path,дорожка
soft,мягкий
harm,вред
style,стиль
community,сообщество
sees,видит
basically,по сути
al,аль
signal,сигнал
nope,Неа
spare,запасной
speech,речь
covered,покрытый
shake,встряхнуть
loose,свободный
snow,снег
russian,русский
lake,озеро
bright,яркий
roof,крыша
ohh,Ох
sending,отправка
paint,покрасить
remind,напоминать
pal,пал
naked,голый
post,Почта
sugar,сахар
heading,Заголовок
streets,улицы
damage,повреждать
silence,тишина
doors,Двери
pete,Пит
ed,ред
success,успех
wet,влажный
nah,Неа
amount,количество
members,члены
kate,Кейт
manage,управлять
safety,безопасность
returned,вернулся
harder,Сильнее
fbi,ФБР
block,блокировать
showing,показывать
fancy,изысканный
chef,шеф-повар
contract,договор
dig,копать землю
chest,грудь
good-bye,до свидания
drinks,напитки
dave,Дейв
buried,похороненный
brian,Брайан
trade,торговля
journey,путешествие
stomach,желудок
changes,изменения
details,Детали
thoughts,мысли
divorce,расторжение брака
funeral,похороны
maria,Мария
football,футбол
reality,реальность
theory,теория
gosh,гош
ruined,разрушенный
gate,ворота
william,Уильям
spread,распространять
outta,вне
japanese,Японский
sudden,внезапный
coat,Пальто
sooner,рано
cheese,сыр
larry,Ларри
spring,весна
page,страница
ears,уши
simon,Симон
castle,замок
hidden,скрытый
storm,гроза
cos,COS.
personally,лично
artist,художник
hill,холм
exciting,захватывающе
permission,разрешение
jerry,Джерри
expensive,дорогие
tickets,Билеты
forest,лес
barely,едва
eggs,яйца
goin,входить
regret,сожалеть
lesson,урок
lover,возлюбленный
bread,хлеб
andy,Энди
subject,тема
legal,юридический
growing,растущий
ill,больной
jason,Джейсон
mood,настроение
owner,владелец
caused,вызванный
beeping,сигнал
points,точки
dating,знакомства
loss,потеря
secretary,секретарь
revenge,месть
santa,санта
likely,вероятно
rent,арендовать
connection,связь
assistant,ассистент
reasons,причина
yelling,кричать
painting,рисование
trees,деревья
doctors,врача
rush,порыв
foreign,иностранный
rough,грубый
murderer,убийца
century,век
nights,ночью
pair,пара
runs,пробеги
pocket,карман
farm,ферма
matt,матовый
bike,велосипед
obvious,очевидный
ate,ели
grew,вырос
professional,профессиональный
tim,Тим
goodness,добра
parts,запчасти
alan,Алан
university,Университет
square,квадрат
grandfather,Дед
europe,Европа
genius,гениальность
cases,случаи
ruin,руина
winter,зима
tongue,язык
memories,воспоминания
da,да
buying,покупка
cancer,рак
clock,Часы
ocean,океан
dna,ДНК
liar,лжец
tour,тур
thief,вор
bleep,взорвать
lisa,лиза
rights,Права
including,включая
competition,конкуренция
smith,Смит
planned,запланировано
emily,Эмили
boring,скучный
victims,жертвы
mentioned,упомянул
bones,кости
plant,растение
bless,благословить
warning,предупреждение
knocking,стук
re,решающее значение
crash,крушение
bedroom,спальная комната
lower,ниже
silver,Серебряный
groaning,Сторона
madame,мадам
defense,защита
results,полученные результаты
toilet,туалет
event,мероприятие
complicated,сложный
shape,форма
priest,священник
royal,королевский
cheap,дешевый
romantic,романтик
downstairs,вниз по лестнице
invite,приглашать
fortune,удача
tears,слезы
