English,Russian
um,ими
end,конец
saying,говорить
phone,Телефон
play,играть
looks,выглядит
couldn,не могло
fucking,чертовски
problem,проблема
few,немного
friends,друзья
gotta,надоедорос
ago,назад
open,открытым
anyone,кто угодно
killed,погибший
hope,надеяться
face,лицо
until,до
lost,потерянный
police,полиция
excuse,извинение
turn,перемена
business,бизнес
wants,хочет
says,говорит
TRUE,ПРАВДА
die,умереть
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,потом
year,год
watch,смотреть
music,Музыка
hand,рука
having,иметь
probably,наверное
beautiful,красивая
doctor,доктор
sit,сидеть
eat,есть
thinking,думать
young,молодой
second,второй
working,работающий
water,воды
person,человек
part,часть
kids,Дети
late,поздно
stuff,вещи
exactly,точно
under,под
death,смерть
minute,минута
pay,платить
crazy,сумасшедший
forget,забывать
everybody,все
kid,ребенок
change,изменение
gave,дал
happen,случаться
damn,проклятие
five,пять
drink,напиток
far,далеко
knows,знает
its,это
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,арен
hit,ударять
taking,взять
easy,легкий
times,времена
check,проверить
hands,Руки
minutes,минут
deal,иметь дело
different,другой
means,средства
point,точка
inside,внутри
makes,произносить
asked,спросил
somebody,кто-то
mine,моя
making,изготовление
body,тело
afraid,боюсь
sleep,спать
chance,шанс
dear,дорогая
quite,довольно
four,четыре
anyway,в любом случае
close,близко
ain,аин
party,вечеринка
fun,веселье
against,против
word,слово
comes,поставляется
important,важный
set,установленный
shall,должен
story,история
number,количество
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,момент
fight,Борьба
week,неделя
husband,муж
girls,девушки
rest,отдыхать
married,женатый
fire,Огонь
game,игра
nobody,никто
mr,Мистер
children,дети
side,боковая сторона
stand,стоять
read,читать
though,хотя
cut,резать
started,начал
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,говорить
women,женщины
behind,позади
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,воспроизведение
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,перерыв
war,война
city,город
walk,ходить
town,город
trust,доверять
dr.,доктор
met,встретились
office,офис
question,вопрос
brought,принес
yours,ваша
high,высокий
wow,Вот это да
couple,пара
half,половина
died,умерла
free,бесплатно
either,или
seems,кажется
power,власть
whoa,вау
bye,до свидания
buy,купить
telling,рассказывать
honey,медовый
tried,пытался
front,передний
team,команда
answer,отвечать
gun,пистолет
boys,мальчики
line,линия
send,Отправить
news,Новости
stupid,тупой
bed,кровать
hurry,торопиться
full,полный
months,месяцы
save,спасти
sometimes,иногда
become,стали
along,вместе
hate,ненавидеть
food,еда
outside,вне
light,свет
l,летание
needs,потребности
dog,собака
country,страна
clear,Чисто
order,порядок
em,Эм
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,смешной
black,чернить
mrs.,Г-жа.
alive,в живых
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,план
dinner,обед
sighs,вздыхает
sort,Сортировать
leaving,уход
shouldn,одолевать
running,Бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,безопасно
ma,масса
book,книга
white,белый
hour,час
anybody,Кто-нибудь
small,небольшой
perfect,идеально
cause,причина
lives,жизни
special,особый
parents,родители
s,с
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,Компания
ha,ха.
scared,испуганный
uncle,дядя
poor,бедных
red,красный
past,мимо
earth,Земля
possible,возможный
shoot,стрелять
touch,трогать
sound,звук
top,Топ
ass,жопа
laughs,смех
cannot,не мочь
asking,спрашивать
win,победить
glad,радостный
control,контроль
hmm,Хм
human,человек
drive,водить машину
hair,волосы
jack,Джек
bitch,сука
luck,удача
murder,убийство
happens,случается
air,воздух
ten,10
daddy,папочка
finally,наконец
chuckles,смехаться
fast,быстро
cold,холодно
seem,казаться
laughing,смеющийся
words,слова
hospital,больница
street,улица
hang,вешать
dance,танцевать
meeting,встреча
till,пока
others,другие
catch,ловить
follow,следить
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,мастер
known,известный
dream,мечтать
write,записывать
million,миллион
voice,голос
sweet,милая
rather,скорее
felt,чувствовала
sign,подписать
somewhere,где-то
bet,держать пари
o,о
jesus,Иисус
longer,дольше
calling,призыв
worked,работал
quiet,тихий
looked,смотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращение
secret,секретарь
weeks,недели
weren,вурена
date,Дата
seeing,видимость
fall,падение
given,данный
ooh,ООН
fault,вина
straight,прямой
takes,занимает
song,песня
future,будущее
gentlemen,джентльмены
loved,любимый
changed,измененный
road,Дорога
calm,спокойствие
wonderful,чудесно
mad,Сумасшедший
turned,повернувшийся
drop,уронить
ladies,дамы
learn,учиться
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
throw,бросать
picture,рисунок
land,земля
feet,ноги
wonder,задаваться вопросом
questions,вопросов
speaking,Говорящий
worth,стоимость
darling,дорогой
dude,чувак
giving,давать
president,президент
eye,глаз
quick,быстро
moving,движущийся
figure,фигура
state,штат
strong,сильный
sam,Сэм
none,никто
amazing,удивительный
ones,одинаково
works,работает
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствует
choice,выбор
happening,происходит
chief,главный
wedding,свадьба
strange,странный
general,Общее
pain,боль
am,являюсь
kidding,шутя
decided,решил
ya,Я.
pass,проходить
tired,усталый
class,класс
officer,офицер
kept,сдержанный
wake,будить
worse,худший
busy,занятый
eh,эх
mistake,ошибка
kiss,целовать
court,корт
building,строительство
finish,Конец
during,в течение
age,возраст
ship,корабль
caught,пойманный
marry,выйти замуж
meant,имел ввиду
sell,продавать
dark,темный
watching,watching
system,система
suppose,предполагать
evidence,свидетельство
movie,кино
ride,поездка
t,т
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
tv,телевидение
forgive,простить
born,Родился
imagine,представлять себе
information,Информация
instead,вместо
definitely,определенно
security,безопасность
certainly,безусловно
film,пленка
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,отель
christmas,рождество
attack,атака
hasn,несущественно
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,около
broke,сломанный
station,станция
seriously,шутки в сторону
forever,навсегда
david,Дэйвид
frank,откровенный
except,Кроме
thinks,думать
message,сообщение
entire,весь
joe,Джо
table,стол
talked,разговаривали
across,через
rock,рок
lovely,прекрасный
handle,ручка
middle,середина
buddy,приятель
paid,оплаченный
using,с использованием
floor,пол
ran,победа
swear,клятва
spend,проводить
situation,ситуация
ring,звенеть
anywhere,в любом месте
dangerous,опасный
bill,законопроект
york,Йорк
army,армия
lead,привести
bought,купили
finished,законченный
fair,справедливый
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,просто
interesting,интересно
space,Космос
test,тестовое задание
box,коробка
group,группа
single,Один
sitting,заседание
marriage,свадьба
join,присоединиться
fear,страх
d,подразделение
peace,мир
forgot,забыли
force,сила
short,короткая
normal,обычный
charlie,Чарли
present,настоящее время
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американец
count,считать
area,площадь
charge,плата
honor,честь
lunch,обед
miles,мили
radio,радио
idiot,идиот
ball,мяч
surprise,сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыба
mark,отметка
tom,Том
wearing,носить
crying,плач
government,правительство
eight,восемь
fell,упал
cover,крышка
certain,определенный
interested,заинтересовать
deep,глубокий
star,звезда
sea,море
agree,дать согласие
problems,проблемы
detective,детектив
prison,тюрьма
major,крупный
stick,палка
difficult,сложно
smart,умный
personal,личный
record,записывать
stopped,остановился
hide,Спрятать
whether,ли
bank,банк
trip,поездка
relax,расслабляться
america,Америка
public,публичный
list,список
afternoon,после полудня
brain,головной мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,услуга
screaming,кричать
forward,вперед
angry,злой
park,парк
soul,душа
fighting,боевые действия
peter,Питер
rich,богатый
agent,агент
blow,дуть
paul,Павел
dress,одеваться
mary,Мэри
missed,пропущенный
scene,сцена
killing,убийство
standing,стоянок
saved,спасенный
mm,мм
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувствителен
church,церковь
sad,грустный
cell,клетка
drunk,пьяный
share,Поделиться
camera,камера
mm-hmm,мм-хм.
within,в
card,карта
fly,летать
ben,Бен
girlfriend,Подруга
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,довольно часто
starting,запуск
calls,вызовы
y,у
spent,потраченный
third,в третьих
english,английский
visit,визит
mama,мама
judge,судить
window,окно
hungry,голодный
dare,посметь
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,я-я
position,позиция
lieutenant,лейтенант
realize,понимать
lt,лейтена
especially,особенно
machine,машина
walking,ходьба
art,Изобразительное искусство
pleasure,удовольствие
bloody,кровавый
